Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
XA|S12||MH2|-3.04|-23.42|0.0|0.0|270.0|0.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1977-03-27T15:41:00|1977-09-30T18:50:00
XA|S12||MHZ|-3.04|-23.42|0.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1969-11-19T14:23:00|1974-10-16T14:02:00
XA|S12||MHZ|-3.04|-23.42|0.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|2.86113E9|1.0|M|6.625|1974-10-16T14:02:00|1975-04-09T15:31:00
XA|S12||MHZ|-3.04|-23.42|0.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1975-04-09T15:31:00|1975-06-28T13:31:00
XA|S12||MHZ|-3.04|-23.42|0.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|2.86113E9|1.0|M|6.625|1975-06-28T13:31:00|1977-03-27T15:41:00
XA|S12||MHZ|-3.04|-23.42|0.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1977-03-27T15:41:00|1977-09-30T18:50:00
XA|S12||SHZ|-3.01084|-23.42456|-1424.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|1.00881E10|10.0|M|53.0|1969-11-19T14:23:00|1977-09-30T18:50:00
XA|S12|00|MH1|-3.01084|-23.42456|-1424.0|0.0|180.0|0.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1969-11-19T14:23:00|1977-09-30T18:50:00
XA|S12|00|MH2|-3.01084|-23.42456|-1424.0|0.0|270.0|0.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1969-11-19T14:23:00|1977-09-30T18:50:00
XA|S12|00|MHZ|-3.01084|-23.42456|-1424.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1969-11-19T14:23:00|1977-09-30T18:50:00
XA|S12|01|MH1|-3.01084|-23.42456|-1424.0|0.0|180.0|0.0|Apollo PSE Alsep Seismometer|2.86113E9|1.0|M|6.625|1969-11-19T14:23:00|1977-09-30T18:50:00
XA|S12|01|MH2|-3.01084|-23.42456|-1424.0|0.0|270.0|0.0|Apollo PSE Alsep Seismometer|2.86113E9|1.0|M|6.625|1969-11-19T14:23:00|1977-09-30T18:50:00
XA|S12|01|MHZ|-3.01084|-23.42456|-1424.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|2.86113E9|1.0|M|6.625|1969-11-19T14:23:00|1977-09-30T18:50:00
